scenario,layer,iter_in_layer,global_iter,energy
Aer Noise Model,1,36,56,-0.31086177760513695
Aer Noise Model,1,37,57,-0.2620580361638719
Aer Noise Model,1,38,58,-0.2785707092337505
Aer Noise Model,1,39,59,-0.31410322385013884
Aer Noise Model,1,40,60,-0.28729406192280077
Aer Noise Model,1,41,61,-0.26642718255351605
Aer Noise Model,1,42,62,-0.29278039506025294
Aer Noise Model,1,43,63,-0.3041758105552293
Aer Noise Model,1,44,64,-0.31945620284879866
Aer Noise Model,1,45,65,-0.25726946057420863
Aer Noise Model,1,46,66,-0.2761050410077811
Aer Noise Model,1,47,67,-0.27876991043692584
Aer Noise Model,2,0,68,-0.2925596137267337
Aer Noise Model,2,1,69,-0.2463576613336079
Aer Noise Model,2,2,70,-0.2811038845341295
Aer Noise Model,2,3,71,-0.210178849480251
Aer Noise Model,2,4,72,-0.2370533051352964
Aer Noise Model,2,5,73,-0.24925714551315903
Aer Noise Model,2,6,74,-0.2746724523549457
Aer Noise Model,2,7,75,-0.28336813821022167
Aer Noise Model,2,8,76,-0.23511718010776794
Aer Noise Model,2,9,77,-0.2543981965651074
Aer Noise Model,2,10,78,-0.2697073623658021
Aer Noise Model,2,11,79,-0.2279210366430615
Aer Noise Model,2,12,80,-0.23102248870916525
Aer Noise Model,2,13,81,-0.2633213037940084
Aer Noise Model,2,14,82,-0.27396196806362055
Aer Noise Model,2,15,83,-0.22913173728902664
Aer Noise Model,2,16,84,-0.24179484710754337
Aer Noise Model,2,17,85,-0.2429468940659069
Aer Noise Model,2,18,86,-0.23595548517113055
Aer Noise Model,2,19,87,-0.2419890682806392
Aer Noise Model,2,20,88,-0.2765615437650578
Aer Noise Model,2,21,89,-0.2455591965108804
Aer Noise Model,2,22,90,-0.2797382496190279
Aer Noise Model,2,23,91,-0.2556277106580392
Aer Noise Model,2,24,92,-0.24072082062042333
Aer Noise Model,2,25,93,-0.25081976828473385
Aer Noise Model,2,26,94,-0.2734495783021197
Aer Noise Model,2,27,95,-0.28652824396392707
Aer Noise Model,2,28,96,-0.23706769188885918
Aer Noise Model,2,29,97,-0.25455147082421725
Aer Noise Model,2,30,98,-0.27550799073493076
Aer Noise Model,2,31,99,-0.23484659847345488
Aer Noise Model,2,32,100,-0.27040567325026654
Aer Noise Model,2,33,101,-0.23672130313000436
